기온분석,,,,
[검색조건],,,,
자료구분 : 년,,,,
자료형태 : 기본,,,,
지역/지점 : ,,,,
기간 : 2018~2024,,,,
년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2018,248,11.1,5.2,17.7
2018,251,12.8,7.9,18.7
2018,252,13.1,8.4,18.7
2018,253,14.8,10.5,20.3
2018,254,12.8,7.4,19.2
2018,255,14.4,10,19.8
2018,257,14.8,10,20.5
2018,258,14.1,9.1,19.4
2018,259,14,9.3,19.5
2018,260,13.8,8.5,19.5
2018,261,13.2,7.9,19
2018,262,13.6,8.5,19.1
2018,263,13.5,7.6,20.4
2018,264,12.7,6.7,19.6
2018,266,14.8,10.7,19.8
2018,268,14.1,9.8,18.5
2018,271,10.3,4,17.4
2018,272,11.6,5.9,17.6
2018,273,12.4,7,18.4
2018,276,11.2,5.3,18.1
2018,277,13.4,8.6,18.9
2018,278,12.4,5.7,20.2
2018,279,13.6,8.5,19.3
2018,281,13.3,7.6,19.8
2018,283,13.5,8.1,19.7
2018,284,12.3,6.2,19.1
2018,285,13.3,7.3,20.3
2018,288,13.8,8.2,20.3
2018,289,13.1,7.8,19.5
2018,294,15,11,19.8
2018,295,14.6,10.3,19.7
2018,90,12.6,8.5,16.9
2018,93,11.2,5.3,17.9
2018,95,10.4,4.6,16.7
2018,98,11.7,6.4,18.4
2018,99,10.5,4.9,17.1
2018,100,7.2,2,12.5
2018,101,11.6,6.4,17.6
2018,102,11,8.3,14.1
2018,104,12.7,8.5,16.9
2018,105,13.7,9.8,18
2018,106,13.2,9.4,17.1
2018,108,12.9,8.8,17.9
2018,112,12.5,9.2,16.3
2018,114,12.4,7.7,17.7
2018,115,13,10.5,16
2018,119,12.7,7.9,18.5
2018,121,11.5,6.1,18
2018,127,12,6.4,18.4
2018,129,12.2,7.4,17.6
2018,130,13,8.6,17.8
2018,131,13.5,9.1,18.7
2018,133,13.5,8.8,19
2018,135,11.9,6.5,17.5
2018,136,12.7,7.3,18.9
2018,137,13.1,8,19.1
2018,138,14.8,11.1,19
2018,140,13.2,9,18.1
2018,143,14.1,9.2,19.6
2018,146,13.9,9.5,19.3
