연도,시도,성홍열_발생수,성홍열_발생률,성홍열_사망수,수막구균성수막염_발생수,수막구균성수막염_발생률,수막구균성수막염_사망수,레지오넬라증_발생수,레지오넬라증_발생률,레지오넬라증_사망수,비브리오패혈증_발생수,비브리오패혈증_발생률,비브리오패혈증_사망수,발진티푸스_발생수,발진티푸스_발생률,발진티푸스_사망수,발진열_발생수,발진열_발생률,발진열_사망수,쯔쯔가무시증_발생수,쯔쯔가무시증_발생률,쯔쯔가무시증_사망수,렙토스피라증_발생수,렙토스피라증_발생률,렙토스피라증_사망수,브루셀라증_발생수,브루셀라증_발생률,브루셀라증_사망수,탄저_발생수,탄저_발생률,탄저_사망수,공수병_발생수,공수병_발생률,공수병_사망수,신증후군출혈열_발생수,신증후군출혈열_발생률,신증후군출혈열_사망수,1기매독_발생수,1기매독_발생률,1기매독_사망수,2기매독_발생수,2기매독_발생률,2기매독_사망수,선천성매독_발생수,선천성매독_발생률,선천성매독_사망수,크로이츠펠트-야콥병_발생수,크로이츠펠트-야콥병_발생률,크로이츠펠트-야콥병_사망수,c형간염_발생수,c형간염_발생률,c형간염_사망수,반코마이신내성황색포도알균감염증_발생수,반코마이신내성황색포도알균감염증_발생률,반코마이신내성황색포도알균감염증_사망수,카바페넴내성장내세균속균종감염증_발생수,카바페넴내성장내세균속균종감염증_발생률,카바페넴내성장내세균속균종감염증_사망수
2015,서울 Seoul,781,7.76,0,0,0,0,11,0.11,0,6,0.06,3,0,0,0,0,0,0,277,2.75,0,6,0.06,0,2,0.02,0,0,0,0,0,0,0,18,0.18,1,93,0.92,0,42,0.42,0,6,0.06,0,5,0.05,0,,,,,,,,,
2015,부산 Busan,498,14.16,0,3,0.09,1,1,0.03,0,4,0.11,1,0,0,0,3,0.09,0,574,16.32,0,9,0.26,0,0,0,0,0,0,0,0,0,0,8,0.23,0,41,1.17,0,17,0.48,0,1,0.03,0,4,0.11,0,,,,,,,,,
2015,대구 Daegu,361,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,7.11,0,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.08,0,33,1.33,0,15,0.6,0,2,0.08,0,2,0.08,0,,,,,,,,,
2015,인천 Incheon,279,9.57,0,0,0,0,4,0.14,0,3,0.1,1,0,0,0,0,0,0,105,3.6,0,1,0.03,0,0,0,0,0,0,0,0,0,0,7,0.24,0,54,1.85,0,12,0.41,0,1,0.03,0,1,0.03,0,,,,,,,,,
2015,광주 Gwangju,377,25.58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,332,22.52,0,1,0.07,0,0,0,0,0,0,0,0,0,0,1,0.07,0,15,1.02,0,8,0.54,0,0,0,0,0,0,0,,,,,,,,,
2015,대전 Daejeon,241,15.8,0,0,0,0,1,0.07,0,3,0.2,1,0,0,0,0,0,0,284,18.62,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.26,0,18,1.18,0,7,0.46,0,2,0.13,0,1,0.07,0,,,,,,,,,
2015,울산 Ulsan,383,32.74,0,0,0,0,3,0.26,0,1,0.09,0,0,0,0,3,0.26,0,412,35.22,1,1,0.09,0,1,0.09,0,0,0,0,0,0,0,3,0.26,1,9,0.77,0,4,0.34,0,3,0.26,0,0,0,0,,,,,,,,,
2015,세종 Sejong,8,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22.89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.09,0,1,0.54,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2015,경기 Gyeonggi,2033,16.34,0,1,0.01,0,13,0.1,1,6,0.05,1,0,0,0,2,0.02,0,813,6.54,1,16,0.13,0,0,0,0,0,0,0,0,0,0,108,0.87,3,255,2.05,0,70,0.56,0,6,0.05,0,8,0.06,0,,,,,,,,,
2015,강원 Gangwon,92,5.95,0,1,0.06,0,5,0.32,0,0,0,0,0,0,0,0,0,0,101,6.53,2,3,0.19,0,0,0,0,0,0,0,0,0,0,17,1.1,0,22,1.42,0,8,0.52,0,3,0.19,0,3,0.19,0,,,,,,,,,
2015,충북 Chungbuk,109,6.89,0,0,0,0,1,0.06,0,0,0,0,0,0,0,2,0.13,0,228,14.42,0,3,0.19,0,0,0,0,0,0,0,0,0,0,17,1.07,0,10,0.63,0,5,0.32,0,0,0,0,0,0,0,,,,,,,,,
2015,충남 Chungnam ,356,17.2,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,858,41.45,0,12,0.58,0,0,0,0,0,0,0,0,0,0,40,1.93,1,19,0.92,0,11,0.53,0,2,0.1,0,1,0.05,0,,,,,,,,,
2015,전북 Jeonbuk,192,10.26,0,0,0,0,0,0,0,2,0.11,2,0,0,0,0,0,0,1366,73.02,2,5,0.27,0,0,0,0,0,0,0,0,0,0,51,2.73,0,15,0.8,0,11,0.59,0,2,0.11,0,2,0.11,0,,,,,,,,,
2015,전남 Jeonnam,313,16.41,0,0,0,0,2,0.1,0,6,0.31,1,0,0,0,1,0.05,0,1823,95.58,1,22,1.15,0,0,0,0,0,0,0,0,0,0,61,3.2,0,19,1,0,9,0.47,0,1,0.05,0,2,0.1,0,,,,,,,,,
2015,경북 Gyeongbuk,326,12.07,0,1,0.04,0,0,0,0,2,0.07,0,0,0,0,1,0.04,0,463,17.14,1,7,0.26,0,1,0.04,0,0,0,0,0,0,0,26,0.96,1,38,1.41,0,15,0.56,0,1,0.04,0,1,0.04,0,,,,,,,,,
2015,경남 Gyeongnam,608,18.11,0,0,0,0,2,0.06,0,4,0.12,3,0,0,0,0,0,0,1591,47.39,3,17,0.51,0,1,0.03,0,0,0,0,0,0,0,19,0.57,0,55,1.64,0,16,0.48,0,3,0.09,0,2,0.06,0,,,,,,,,,
2015,제주 Jeju,45,7.31,0,0,0,0,1,0.16,0,0,0,0,0,0,0,0,0,0,67,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.73,0,3,0.49,0,0,0,0,1,0.16,0,,,,,,,,,
2016,서울 Seoul,1354,13.57,0,4,0.04,0,43,0.43,0,5,0.05,1,0,0,0,4,0.04,0,352,3.53,0,8,0.08,0,1,0.01,0,0,0,0,0,0,0,28,0.28,0,245,2.46,0,117,1.17,0,1,0.01,0,13,0.13,0,,,,,,,,,
2016,부산 Busan,818,23.33,0,0,0,0,8,0.23,2,4,0.11,2,0,0,0,1,0.03,0,868,24.76,1,5,0.14,0,1,0.03,0,0,0,0,0,0,0,15,0.43,0,41,1.17,0,21,0.6,0,0,0,0,2,0.06,1,,,,,,,,,
2016,대구 Daegu,467,18.78,0,1,0.04,0,4,0.16,1,3,0.12,0,0,0,0,0,0,0,231,9.29,0,3,0.12,0,0,0,0,0,0,0,0,0,0,1,0.04,0,34,1.37,0,25,1.01,0,5,0.2,0,3,0.12,0,,,,,,,,,
2016,인천 Incheon,500,17.04,0,0,0,0,9,0.31,0,4,0.14,2,0,0,0,3,0.1,0,117,3.99,0,1,0.03,0,0,0,0,0,0,0,0,0,0,7,0.24,0,106,3.61,0,44,1.5,0,1,0.03,0,3,0.1,1,,,,,,,,,
2016,광주 Gwangju,710,48.28,0,0,0,0,0,0,0,1,0.07,0,0,0,0,1,0.07,0,320,21.76,0,1,0.07,0,0,0,0,0,0,0,0,0,0,10,0.68,0,48,3.26,0,23,1.56,0,0,0,0,1,0.07,0,,,,,,,,,
2016,대전 Daejeon,400,26.38,0,0,0,0,3,0.2,0,1,0.07,0,0,0,0,0,0,0,307,20.24,1,3,0.2,0,0,0,0,0,0,0,0,0,0,11,0.73,0,36,2.37,0,16,1.06,0,1,0.07,0,1,0.07,0,,,,,,,,,
2016,울산 Ulsan,552,47.06,0,0,0,0,2,0.17,0,1,0.09,0,0,0,0,2,0.17,0,471,40.16,0,3,0.26,0,1,0.09,0,0,0,0,0,0,0,2,0.17,0,14,1.19,0,7,0.6,0,1,0.09,0,1,0.09,0,,,,,,,,,
2016,세종 Sejong,52,22.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,32.16,0,1,0.44,0,0,0,0,0,0,0,0,0,0,1,0.44,0,7,3.08,0,2,0.88,0,0,0,0,1,0.44,0,,,,,,,,,
2016,경기 Gyeonggi,3504,27.77,0,0,0,0,22,0.17,1,12,0.1,3,0,0,0,2,0.02,0,973,7.71,2,24,0.19,0,0,0,0,0,0,0,0,0,0,138,1.09,1,270,2.14,0,118,0.94,0,5,0.04,0,8,0.06,2,,,,,,,,,
2016,강원 Gangwon,108,6.97,0,0,0,0,5,0.32,0,1,0.06,0,0,0,0,0,0,0,118,7.61,1,6,0.39,0,0,0,0,0,0,0,0,0,0,15,0.97,0,32,2.06,0,14,0.9,0,0,0,0,0,0,0,,,,,,,,,
2016,충북 Chungbuk,215,13.54,0,0,0,0,3,0.19,0,0,0,0,0,0,0,0,0,0,252,15.87,0,5,0.31,0,0,0,0,0,0,0,0,0,0,43,2.71,0,20,1.26,0,11,0.69,0,0,0,0,1,0.06,0,,,,,,,,,
