지역,연도,뎅기열
서울,2018,49
부산,2018,13
대구,2018,8
인천,2018,8
광주,2018,2
대전,2018,0
울산,2018,3
경기,2018,43
강원,2018,5
충북,2018,4
충남,2018,4
전북,2018,3
전남,2018,4
경북,2018,3
경남,2018,8
제주,2018,2
세종,2018,0
미상,2018,0
서울,2019,74
부산,2019,10
대구,2019,16
인천,2019,18
광주,2019,3
대전,2019,7
울산,2019,13
경기,2019,84
강원,2019,5
충북,2019,7
충남,2019,7
전북,2019,10
전남,2019,0
경북,2019,3
경남,2019,11
제주,2019,5
세종,2019,0
미상,2019,0
서울,2020,15
부산,2020,4
대구,2020,2
인천,2020,2
광주,2020,0
대전,2020,0
울산,2020,1
경기,2020,13
강원,2020,0
충북,2020,0
충남,2020,2
전북,2020,0
전남,2020,1
경북,2020,1
경남,2020,1
제주,2020,1
세종,2020,0
미상,2020,0
서울,2021,0
부산,2021,0
대구,2021,0
인천,2021,1
광주,2021,0
대전,2021,0
울산,2021,1
경기,2021,0
강원,2021,1
충북,2021,0
충남,2021,0
전북,2021,0
전남,2021,0
경북,2021,0
경남,2021,0
제주,2021,0
세종,2021,0
미상,2021,0
서울,2022,32
부산,2022,7
대구,2022,0
인천,2022,9
광주,2022,1
대전,2022,4
울산,2022,2
경기,2022,24
강원,2022,4
충북,2022,1
충남,2022,3
전북,2022,3
전남,2022,1
경북,2022,5
경남,2022,5
제주,2022,1
세종,2022,1
미상,2022,0
서울,2023,53
부산,2023,11
대구,2023,4
인천,2023,16
광주,2023,6
대전,2023,2
울산,2023,1
경기,2023,66
강원,2023,6
충북,2023,3
충남,2023,9
전북,2023,5
전남,2023,7
경북,2023,6
경남,2023,9
제주,2023,1
세종,2023,1
미상,2023,0
서울,2024,59
부산,2024,4
대구,2024,5
인천,2024,14
광주,2024,7
대전,2024,1
울산,2024,5
경기,2024,62
강원,2024,1
충북,2024,7
충남,2024,3
전북,2024,6
전남,2024,6
경북,2024,2
경남,2024,8
제주,2024,0
세종,2024,0
미상,2024,0
