지역,연도,말라리아
서울,2018,82
부산,2018,9
대구,2018,13
인천,2018,82
광주,2018,5
대전,2018,3
울산,2018,4
경기,2018,325
강원,2018,11
충북,2018,3
충남,2018,8
전북,2018,5
전남,2018,6
경북,2018,3
경남,2018,13
제주,2018,3
세종,2018,1
서울,2019,100
부산,2019,14
대구,2019,2
인천,2019,87
광주,2019,4
대전,2019,5
울산,2019,2
경기,2019,294
강원,2019,15
충북,2019,7
충남,2019,9
전북,2019,3
전남,2019,0
경북,2019,5
경남,2019,8
제주,2019,3
세종,2019,1
서울,2020,57
부산,2020,2
대구,2020,3
인천,2020,48
광주,2020,5
대전,2020,3
울산,2020,3
경기,2020,227
강원,2020,12
충북,2020,5
충남,2020,7
전북,2020,4
전남,2020,1
경북,2020,3
경남,2020,4
제주,2020,0
세종,2020,1
서울,2021,40
부산,2021,3
대구,2021,1
인천,2021,46
광주,2021,0
대전,2021,3
울산,2021,3
경기,2021,175
강원,2021,8
충북,2021,3
충남,2021,4
전북,2021,1
전남,2021,4
경북,2021,2
경남,2021,1
제주,2021,0
세종,2021,0
서울,2022,60
부산,2022,8
대구,2022,2
인천,2022,63
광주,2022,0
대전,2022,9
울산,2022,3
경기,2022,236
강원,2022,15
충북,2022,3
충남,2022,3
전북,2022,3
전남,2022,5
경북,2022,5
경남,2022,3
제주,2022,1
세종,2022,1
서울,2023,94
부산,2023,7
대구,2023,2
인천,2023,126
광주,2023,5
대전,2023,6
울산,2023,1
경기,2023,434
강원,2023,29
충북,2023,2
충남,2023,8
전북,2023,6
전남,2023,14
경북,2023,6
경남,2023,5
제주,2023,2
세종,2023,0
서울,2024,25
부산,2024,2
대구,2024,2
인천,2024,18
광주,2024,1
대전,2024,1
울산,2024,3
경기,2024,83
강원,2024,1
충북,2024,0
충남,2024,0
전북,2024,1
전남,2024,4
경북,2024,3
경남,2024,3
제주,2024,0
세종,2024,0
